step,loss,lr
1,1.619,0.0
10000,0.914,9.764343434343435e-05
20000,0.8437,9.427643097643098e-05
30000,0.7555,9.090942760942761e-05
40000,0.7401,8.754242424242425e-05
50000,0.7329,8.417542087542087e-05
60000,0.7282,8.080841750841752e-05
70000,0.7247,7.744141414141415e-05
80000,0.7224,7.407441077441078e-05
90000,0.7202,7.070740740740741e-05
100000,0.7186,6.734040404040404e-05
110000,0.7172,6.397340067340067e-05
120000,0.7159,6.060639730639731e-05
130000,0.7148,5.7239393939393935e-05
140000,0.7137,5.387239057239057e-05
150000,0.7128,5.050538720538721e-05
160000,0.712,4.713838383838384e-05
170000,0.7112,4.3771380471380474e-05
180000,0.7105,4.0404377104377105e-05
190000,0.7098,3.7037373737373736e-05
200000,0.7092,3.3670370370370374e-05
210000,0.7086,3.0303367003367005e-05
220000,0.7081,2.6936363636363636e-05
230000,0.7077,2.356936026936027e-05
240000,0.7073,2.0202356902356902e-05
250000,0.7067,1.6835353535353537e-05
260000,0.7064,1.346835016835017e-05
270000,0.706,1.0101346801346802e-05
280000,0.7058,6.7343434343434344e-06
290000,0.7056,3.3673400673400677e-06
300000,0.7053,3.3670033670033673e-10
300000,0.7264984532312552,None
