step,loss,lr
1,0.9246,0.0
10000,0.7538,0.0004882171717171717
20000,0.738,0.0004713821548821549
30000,0.7325,0.00045454713804713804
40000,0.7291,0.0004377121212121212
50000,0.7269,0.00042087710437710435
60000,0.7252,0.00040404208754208753
70000,0.7237,0.0003872070707070707
80000,0.7226,0.00037037205387205384
90000,0.7217,0.000353537037037037
100000,0.7208,0.0003367020202020202
110000,0.72,0.00031986700336700334
120000,0.7192,0.0003030319865319866
130000,0.7185,0.0002861969696969697
140000,0.7177,0.0002693619528619529
150000,0.7172,0.00025252693602693607
160000,0.7165,0.0002356919191919192
170000,0.7157,0.00021885690235690235
180000,0.7151,0.0002020218855218855
190000,0.7144,0.0001851868686868687
200000,0.7137,0.00016835185185185188
210000,0.713,0.00015151683501683503
220000,0.7123,0.0001346818181818182
230000,0.7116,0.00011784680134680136
240000,0.7107,0.00010101178451178451
250000,0.7099,8.417676767676768e-05
260000,0.7089,6.734175084175084e-05
270000,0.7081,5.050673400673401e-05
280000,0.7071,3.367171717171717e-05
290000,0.7062,1.6836700336700337e-05
300000,0.7053,1.6835016835016835e-09
300000,0.71851164808472,None
