step,loss,lr
1,1.6172,0.0
10000,0.8055,9.764343434343435e-05
20000,0.6884,9.427643097643098e-05
30000,0.6738,9.090942760942761e-05
40000,0.6669,8.754242424242425e-05
50000,0.6626,8.417542087542087e-05
60000,0.6594,8.080841750841752e-05
70000,0.6569,7.744141414141415e-05
80000,0.6546,7.407441077441078e-05
90000,0.6527,7.070740740740741e-05
100000,0.6513,6.734040404040404e-05
110000,0.65,6.397340067340067e-05
120000,0.6488,6.060639730639731e-05
130000,0.6478,5.7239393939393935e-05
140000,0.6468,5.387239057239057e-05
150000,0.646,5.050538720538721e-05
160000,0.6453,4.713838383838384e-05
170000,0.6447,4.3771380471380474e-05
180000,0.6441,4.0404377104377105e-05
190000,0.6436,3.7037373737373736e-05
200000,0.643,3.3670370370370374e-05
210000,0.6425,3.0303367003367005e-05
220000,0.6421,2.6936363636363636e-05
230000,0.6416,2.356936026936027e-05
240000,0.6413,2.0202356902356902e-05
250000,0.6408,1.6835353535353537e-05
260000,0.6405,1.346835016835017e-05
270000,0.6402,1.0101346801346802e-05
280000,0.6398,6.7343434343434344e-06
290000,0.6396,3.3673400673400677e-06
300000,0.6394,3.3670033670033673e-10
300000,0.6546626821780205,None
