step,loss,lr
1,0.7941,0.0
10000,0.6705,0.0001952868686868687
20000,0.6549,0.00018855286195286196
30000,0.6488,0.00018181885521885522
40000,0.6447,0.0001750848484848485
50000,0.6419,0.00016835084175084174
60000,0.6409,0.00016161683501683503
70000,0.6383,0.0001548828282828283
80000,0.6343,0.00014814882154882156
90000,0.6341,0.00014141481481481482
100000,0.631,0.00013468080808080808
110000,0.6312,0.00012794680134680135
120000,0.6306,0.00012121279461279462
130000,0.6309,0.00011447878787878787
140000,0.6298,0.00010774478114478115
150000,0.6279,0.00010101077441077442
160000,0.6284,9.427676767676768e-05
170000,0.6265,8.754276094276095e-05
180000,0.6266,8.080875420875421e-05
190000,0.626,7.407474747474747e-05
200000,0.6242,6.734074074074075e-05
210000,0.6231,6.060673400673401e-05
220000,0.6228,5.387272727272727e-05
230000,0.6226,4.713872053872054e-05
240000,0.6228,4.0404713804713804e-05
250000,0.6212,3.367070707070707e-05
260000,0.6215,2.693670033670034e-05
270000,0.621,2.0202693602693605e-05
280000,0.6211,1.3468686868686869e-05
290000,0.6215,6.7346801346801355e-06
300000,0.6195,6.734006734006735e-10
300000,0.6312799320304394,None
